age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,Target
33,services,married,primary,yes,1069,yes,no,telephone,10,apr,2588,9,4,8,other,no
72,services,divorced,unknown,yes,4922,yes,no,telephone,7,apr,1409,6,1,1,failure,yes
43,admin,single,secondary,yes,2792,yes,no,cellular,9,may,4161,4,9,6,other,yes
57,services,single,primary,yes,4048,yes,yes,telephone,14,mar,1714,6,7,6,success,no
61,management,single,secondary,no,4376,no,no,telephone,23,feb,2099,2,-1,0,other,yes
20,services,single,unknown,no,1265,yes,yes,cellular,24,mar,2000,1,2,9,success,yes
78,services,married,secondary,yes,2939,no,no,cellular,30,feb,408,9,-1,4,failure,no
34,services,married,secondary,yes,4176,no,yes,telephone,31,mar,4860,9,5,10,other,no
40,services,married,tertiary,yes,1536,no,no,telephone,23,apr,4342,8,10,1,other,no
37,admin,single,unknown,no,2774,yes,yes,telephone,13,apr,2964,6,6,1,failure,yes
57,management,single,primary,yes,3978,no,no,cellular,15,jan,3461,9,1,3,success,no
30,retired,single,primary,yes,3443,yes,no,telephone,28,may,3603,1,-1,7,success,yes
34,technician,divorced,primary,yes,3177,yes,no,cellular,19,may,2520,4,10,6,other,yes
28,technician,divorced,primary,yes,1994,no,yes,cellular,3,apr,72,3,4,6,failure,no
51,retired,single,unknown,no,4685,no,yes,telephone,24,feb,1730,10,0,6,other,no
36,retired,single,primary,yes,2244,yes,no,cellular,4,mar,917,10,6,1,failure,yes
59,admin,single,unknown,no,439,no,yes,telephone,17,apr,4809,2,9,1,success,yes
30,technician,divorced,tertiary,no,2241,yes,no,cellular,29,jan,4111,4,10,9,success,no
27,retired,single,secondary,yes,2515,no,yes,telephone,11,may,3565,1,6,9,success,yes
73,services,married,unknown,yes,2739,yes,no,cellular,25,may,1285,10,4,5,other,no
