age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,Target
78,retired,divorced,tertiary,yes,1706,yes,no,telephone,11,mar,4007,7,4,0,failure,no
64,admin,married,secondary,no,1383,yes,yes,cellular,13,may,3785,8,1,4,failure,no
37,admin,divorced,primary,no,2636,yes,no,telephone,22,may,473,10,-1,10,failure,no
71,admin,divorced,secondary,no,2297,no,no,cellular,28,mar,795,9,0,9,success,no
79,retired,divorced,unknown,no,757,no,yes,cellular,8,may,4959,7,4,4,other,no
33,management,married,primary,yes,910,yes,yes,cellular,25,may,1214,4,9,7,other,yes
58,admin,married,secondary,no,956,yes,no,telephone,1,may,43,5,0,10,other,yes
72,management,divorced,primary,no,1281,yes,yes,telephone,17,feb,1144,5,10,10,success,no
62,technician,divorced,tertiary,yes,2962,no,no,cellular,31,feb,2018,8,10,0,success,yes
32,technician,divorced,secondary,no,4029,yes,yes,telephone,4,mar,233,4,-1,4,failure,no
36,services,single,primary,yes,3067,yes,yes,telephone,17,mar,1539,8,5,10,failure,no
58,management,single,primary,no,3997,no,yes,telephone,22,apr,4278,5,10,4,other,yes
52,retired,divorced,secondary,no,2889,no,no,cellular,11,feb,681,4,8,0,success,no
67,technician,divorced,secondary,no,4191,yes,yes,telephone,4,jan,3044,3,3,5,failure,yes
55,retired,married,secondary,yes,1055,no,yes,telephone,1,apr,4537,9,4,6,failure,no
75,admin,married,primary,yes,4515,no,yes,telephone,28,may,3933,8,8,5,other,no
65,retired,single,primary,yes,4194,no,no,telephone,25,mar,1680,4,4,9,success,yes
23,services,divorced,primary,no,1003,no,no,telephone,10,apr,3882,6,6,2,failure,yes
66,technician,married,unknown,yes,2916,yes,yes,cellular,31,mar,1300,1,8,4,other,yes
75,admin,married,primary,yes,2864,yes,no,cellular,26,may,3746,7,-1,4,failure,yes
