age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,Target
41,management,married,tertiary,yes,3312,no,no,telephone,9,jan,3239,9,8,5,success,yes
44,admin,married,primary,no,1492,no,yes,telephone,1,jan,233,6,6,2,failure,yes
31,services,married,unknown,no,2533,no,yes,cellular,8,feb,3242,5,4,4,other,yes
45,technician,married,unknown,no,788,no,no,cellular,30,feb,3657,4,7,1,other,yes
59,technician,single,primary,yes,2570,no,yes,telephone,6,jan,1348,2,9,4,failure,yes
70,retired,single,unknown,no,2543,yes,yes,telephone,30,apr,2237,1,6,10,success,yes
79,management,married,tertiary,yes,345,no,yes,telephone,11,mar,23,9,0,5,other,no
62,technician,divorced,primary,no,420,yes,no,cellular,2,may,302,6,9,1,other,no
22,technician,single,primary,no,3910,yes,no,cellular,24,apr,263,4,9,9,other,no
19,management,divorced,secondary,no,2838,yes,yes,cellular,28,feb,2288,10,9,4,other,yes
26,management,single,tertiary,no,512,yes,no,cellular,31,jan,1841,1,2,6,other,no
70,services,divorced,tertiary,no,4106,no,no,cellular,22,feb,1191,3,6,6,success,yes
30,technician,divorced,unknown,no,1907,yes,no,telephone,8,may,303,6,0,6,success,no
24,management,divorced,unknown,no,2219,no,no,telephone,13,mar,1453,1,0,9,success,yes
72,technician,married,unknown,no,4736,yes,no,telephone,15,apr,2104,5,9,1,failure,yes
18,services,married,primary,yes,4341,no,yes,telephone,6,may,4216,1,4,2,success,no
79,technician,married,primary,no,4887,yes,no,telephone,21,jan,2885,7,6,2,success,yes
73,management,single,secondary,no,1741,yes,yes,cellular,28,mar,1967,10,-1,1,other,no
63,admin,married,secondary,yes,2457,no,yes,cellular,20,apr,986,9,9,5,failure,no
63,technician,single,unknown,yes,4669,no,yes,cellular,31,apr,349,3,9,10,failure,no
