age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,Target
25,admin,single,primary,no,2759,no,no,telephone,14,jan,963,3,2,10,failure,no
64,services,divorced,primary,yes,1934,yes,yes,cellular,5,apr,3093,4,8,0,failure,yes
60,services,divorced,tertiary,no,4894,no,yes,telephone,16,feb,4214,5,10,3,other,yes
64,management,married,unknown,yes,3025,yes,no,cellular,11,feb,820,5,1,7,failure,yes
31,technician,divorced,tertiary,no,4786,no,yes,cellular,17,jan,2995,10,7,9,other,no
62,services,married,tertiary,yes,2283,no,no,telephone,14,feb,197,5,-1,9,failure,no
39,admin,single,secondary,yes,973,no,yes,telephone,24,apr,1146,6,-1,2,success,no
65,retired,single,secondary,no,1137,no,yes,telephone,1,apr,2254,9,6,10,success,yes
19,technician,divorced,unknown,no,168,no,no,cellular,5,mar,2921,8,2,8,other,no
34,admin,single,unknown,no,3509,no,yes,cellular,9,jan,18,3,4,4,other,yes
38,technician,married,tertiary,yes,1114,yes,no,telephone,1,feb,4655,1,10,5,success,yes
49,admin,single,secondary,no,1397,yes,no,telephone,18,mar,768,1,8,10,other,no
51,management,single,tertiary,no,63,yes,yes,telephone,19,mar,2811,3,6,0,success,no
75,management,married,secondary,yes,3615,no,no,cellular,10,mar,88,6,9,2,failure,no
18,technician,married,primary,yes,1787,yes,yes,cellular,30,apr,3019,5,5,4,failure,yes
44,retired,divorced,unknown,yes,4469,yes,yes,telephone,3,mar,4299,1,6,5,failure,yes
73,management,married,primary,no,2456,yes,no,cellular,20,apr,4398,1,1,2,failure,no
28,management,married,unknown,yes,3757,yes,no,telephone,4,mar,3263,7,0,9,other,no
73,admin,single,tertiary,no,4384,yes,no,cellular,9,may,1774,9,9,1,success,no
73,services,divorced,primary,no,2965,yes,yes,cellular,18,apr,4131,2,7,7,other,no
