age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,Target
57,admin,divorced,unknown,no,2229,no,yes,telephone,19,apr,4256,7,1,4,success,no
67,technician,divorced,primary,no,3581,yes,no,telephone,9,mar,172,3,4,5,success,no
51,retired,divorced,primary,no,1830,yes,no,cellular,16,feb,2969,9,5,9,other,no
44,management,single,unknown,yes,2671,no,yes,telephone,8,jan,3141,1,0,7,success,yes
41,technician,married,primary,yes,3871,yes,no,cellular,29,feb,973,8,10,10,failure,yes
56,management,divorced,unknown,yes,3581,yes,no,telephone,9,mar,1351,1,9,6,failure,yes
80,management,single,secondary,no,1928,no,no,telephone,20,may,4680,2,7,10,success,yes
23,technician,married,unknown,yes,3607,yes,no,telephone,24,may,1154,3,8,4,other,yes
34,retired,single,unknown,no,1015,no,yes,cellular,19,may,3630,9,3,8,success,yes
43,technician,married,secondary,yes,2087,yes,yes,cellular,5,apr,457,4,1,0,failure,yes
79,management,divorced,primary,yes,449,yes,yes,cellular,10,jan,4430,4,3,4,failure,yes
75,admin,single,secondary,no,1650,no,yes,telephone,31,may,673,5,10,6,other,no
56,retired,single,unknown,yes,2036,yes,yes,telephone,2,may,1967,1,8,7,success,yes
60,services,married,unknown,yes,3357,no,no,cellular,17,may,799,2,10,9,other,no
76,admin,married,secondary,no,2721,no,yes,cellular,26,jan,1651,5,-1,3,other,yes
39,retired,single,secondary,yes,3796,yes,no,cellular,21,apr,502,2,3,2,failure,no
47,retired,divorced,tertiary,yes,2088,no,no,telephone,24,may,2302,2,4,10,success,yes
66,management,married,secondary,yes,3871,yes,yes,cellular,18,may,4003,2,5,6,success,no
39,services,divorced,tertiary,yes,1020,no,yes,cellular,5,apr,1489,7,2,2,success,no
21,admin,divorced,unknown,no,3694,no,yes,cellular,30,jan,176,4,3,7,failure,yes
